Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-03-29 14:33:30,2019-03-29 14:34:59,1m - 29.424s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-03-29 14:33:30,2019-03-29 14:33:47,17.521s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-03-29 14:33:30,2019-03-29 14:33:32,2.195s,PASSED
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-03-29 14:33:32,2019-03-29 14:33:38,5.407s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-03-29 14:33:38,2019-03-29 14:33:38,0.137s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-03-29 14:33:38,2019-03-29 14:33:38,0.103s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-29 14:33:38,2019-03-29 14:33:42,4.023s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-03-29 14:33:42,2019-03-29 14:33:42,0.133s,PASSED
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-03-29 14:33:42,2019-03-29 14:33:47,5.225s,PASSED
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.86,This test case is for create the Policy,2019-03-29 14:33:47,2019-03-29 14:34:58,1m - 11.056s,PASSED
waitForJQueryLoad(10),Chrome 73.0.3683.86,,2019-03-29 14:33:48,2019-03-29 14:33:48,0.077s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.86,,2019-03-29 14:33:48,2019-03-29 14:33:49,1.582s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.86,,2019-03-29 14:33:49,2019-03-29 14:33:49,0.241s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 14:33:49,2019-03-29 14:33:52,3.004s,PASSED
"sendKeys(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), Keys.chord(ENTER))",Chrome 73.0.3683.86,,2019-03-29 14:33:52,2019-03-29 14:33:53,0.057s,PASSED
delay(4),Chrome 73.0.3683.86,,2019-03-29 14:33:53,2019-03-29 14:33:57,4.003s,PASSED
"waitForElementClickable(findTestObject(""TC-CreatePolicy/ClientListing/ClientListAction""), 3)",Chrome 73.0.3683.86,,2019-03-29 14:33:57,2019-03-29 14:33:57,0.080s,PASSED
"click(findTestObject(""TC-CreatePolicy/ClientListing/ClientListAction""))",Chrome 73.0.3683.86,,2019-03-29 14:33:57,2019-03-29 14:33:59,1.928s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 14:33:59,2019-03-29 14:34:02,3.005s,PASSED
"click(findTestObject(""TC-CreatePolicy/ClientListing/StartQuote""))",Chrome 73.0.3683.86,,2019-03-29 14:34:02,2019-03-29 14:34:05,3.016s,PASSED
