Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-03-29 11:52:59,2019-03-29 11:54:45,1m - 45.731s,FAILED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-03-29 11:52:59,2019-03-29 11:53:19,19.431s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-03-29 11:53:00,2019-03-29 11:53:03,3.273s,PASSED
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-03-29 11:53:03,2019-03-29 11:53:07,4.558s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-03-29 11:53:07,2019-03-29 11:53:08,0.147s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-03-29 11:53:08,2019-03-29 11:53:08,0.100s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-29 11:53:08,2019-03-29 11:53:12,4.024s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-03-29 11:53:12,2019-03-29 11:53:12,0.134s,PASSED
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-03-29 11:53:12,2019-03-29 11:53:19,6.897s,PASSED
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.86,This test case is for create the Policy,2019-03-29 11:53:19,2019-03-29 11:54:44,1m - 25.477s,FAILED
waitForJQueryLoad(10),Chrome 73.0.3683.86,,2019-03-29 11:53:19,2019-03-29 11:53:20,0.562s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.86,,2019-03-29 11:53:20,2019-03-29 11:53:21,1.618s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.86,,2019-03-29 11:53:21,2019-03-29 11:53:21,0.145s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 11:53:21,2019-03-29 11:53:24,3.005s,PASSED
"sendKeys(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), Keys.chord(ENTER))",Chrome 73.0.3683.86,,2019-03-29 11:53:24,2019-03-29 11:53:24,0.060s,PASSED
delay(4),Chrome 73.0.3683.86,,2019-03-29 11:53:24,2019-03-29 11:53:28,4.003s,PASSED
"waitForElementClickable(findTestObject(""TC-CreatePolicy/ClientListing/ClientListAction""), 3)",Chrome 73.0.3683.86,,2019-03-29 11:53:28,2019-03-29 11:53:28,0.060s,PASSED
"click(findTestObject(""TC-CreatePolicy/ClientListing/ClientListAction""))",Chrome 73.0.3683.86,,2019-03-29 11:53:28,2019-03-29 11:53:30,1.390s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 11:53:30,2019-03-29 11:53:33,3.004s,PASSED
"click(findTestObject(""TC-CreatePolicy/ClientListing/StartQuote""))",Chrome 73.0.3683.86,,2019-03-29 11:53:33,2019-03-29 11:53:36,3.325s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-03-29 11:53:36,2019-03-29 11:53:37,0.798s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/GeneralDetails/SelectCurrency""), ""USD"", true)",Chrome 73.0.3683.86,,2019-03-29 11:53:37,2019-03-29 11:53:37,0.263s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/GeneralDetails/SelectBroker""), ""New Broker"", true)",Chrome 73.0.3683.86,,2019-03-29 11:53:37,2019-03-29 11:53:38,0.741s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-03-29 11:53:38,2019-03-29 11:53:38,0.521s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/GeneralDetails/SelectProduct""), ""BasicDemoProduct"", false)",Chrome 73.0.3683.86,,2019-03-29 11:53:38,2019-03-29 11:53:39,0.123s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.86,,2019-03-29 11:53:39,2019-03-29 11:53:39,0.526s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/GeneralDetails/SelectPolicyTerm""), ""Yearly"", false)",Chrome 73.0.3683.86,,2019-03-29 11:53:39,2019-03-29 11:53:39,0.110s,PASSED
waitForJQueryLoad(3),Chrome 73.0.3683.86,,2019-03-29 11:53:39,2019-03-29 11:53:40,0.521s,PASSED
"selectOptionByValue(findTestObject(""TC-CreatePolicy/GeneralDetails/SelectTimeZone""), ""343"", false)",Chrome 73.0.3683.86,,2019-03-29 11:53:40,2019-03-29 11:53:40,0.003s,NOT_RUN
delay(3),Chrome 73.0.3683.86,,2019-03-29 11:53:40,2019-03-29 11:53:43,3.005s,PASSED
"click(findTestObject(""TC-CreatePolicy/GeneralDetails/NextButton""))",Chrome 73.0.3683.86,,2019-03-29 11:53:43,2019-03-29 11:53:43,0.091s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-03-29 11:53:43,2019-03-29 11:53:48,5.004s,PASSED
"click(findTestObject(""TC-CreatePolicy/GeneralDetails/ButtonCancel""))",Chrome 73.0.3683.86,,2019-03-29 11:53:48,2019-03-29 11:53:51,3.646s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 11:53:51,2019-03-29 11:53:54,3.004s,PASSED
"waitForJQueryLoad(5, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-29 11:53:54,2019-03-29 11:53:55,0.022s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/RiskDetails/Type""), ""Flat"", false)",Chrome 73.0.3683.86,,2019-03-29 11:53:55,2019-03-29 11:53:55,0.110s,PASSED
"setText(findTestObject(""TC-CreatePolicy/RiskDetails/SumInsurreTextBox""), ""1000"")",Chrome 73.0.3683.86,,2019-03-29 11:53:55,2019-03-29 11:53:55,0.102s,PASSED
"setText(findTestObject(""TC-CreatePolicy/RiskDetails/RoomNo""), ""4"")",Chrome 73.0.3683.86,,2019-03-29 11:53:55,2019-03-29 11:53:55,0.086s,PASSED
"setText(findTestObject(""TC-CreatePolicy/RiskDetails/ContentSumInsure""), ""2000"")",Chrome 73.0.3683.86,,2019-03-29 11:53:55,2019-03-29 11:53:55,0.097s,PASSED
"click(findTestObject(""TC-CreatePolicy/RiskDetails/Save""))",Chrome 73.0.3683.86,,2019-03-29 11:53:55,2019-03-29 11:54:01,5.686s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-03-29 11:54:01,2019-03-29 11:54:06,5.002s,PASSED
"click(findTestObject(""TC-CreatePolicy/Premium/BindButton""))",Chrome 73.0.3683.86,,2019-03-29 11:54:06,2019-03-29 11:54:08,2.198s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-03-29 11:54:08,2019-03-29 11:54:13,5.003s,PASSED
"click(findTestObject(""TC-CreatePolicy/PaymentDetails/PaymentMethods""))",Chrome 73.0.3683.86,,2019-03-29 11:54:13,2019-03-29 11:54:13,0.101s,PASSED
waitForJQueryLoad(4),Chrome 73.0.3683.86,,2019-03-29 11:54:13,2019-03-29 11:54:13,0.020s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/PaymentDetails/SelectNoOfInstallment""), ""1"", false)",Chrome 73.0.3683.86,,2019-03-29 11:54:13,2019-03-29 11:54:13,0.053s,PASSED
waitForJQueryLoad(4),Chrome 73.0.3683.86,,2019-03-29 11:54:13,2019-03-29 11:54:13,0.011s,PASSED
"scrollToElement(findTestObject(""TC-CreatePolicy/PaymentDetails/BindAndSendPolicySchedule""), 5)",Chrome 73.0.3683.86,,2019-03-29 11:54:13,2019-03-29 11:54:44,31.247s,FAILED
