Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-03-29 11:46:00,2019-03-29 11:47:47,1m - 46.218s,FAILED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-03-29 11:46:00,2019-03-29 11:46:21,20.832s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-03-29 11:46:01,2019-03-29 11:46:04,3.427s,PASSED
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-03-29 11:46:04,2019-03-29 11:46:11,6.555s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-03-29 11:46:11,2019-03-29 11:46:11,0.142s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-03-29 11:46:11,2019-03-29 11:46:11,0.098s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-29 11:46:11,2019-03-29 11:46:15,4.023s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-03-29 11:46:15,2019-03-29 11:46:15,0.142s,PASSED
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-03-29 11:46:15,2019-03-29 11:46:21,6.153s,PASSED
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.86,This test case is for create the Policy,2019-03-29 11:46:21,2019-03-29 11:47:46,1m - 24.581s,FAILED
waitForJQueryLoad(10),Chrome 73.0.3683.86,,2019-03-29 11:46:22,2019-03-29 11:46:22,0.566s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.86,,2019-03-29 11:46:22,2019-03-29 11:46:24,1.818s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.86,,2019-03-29 11:46:24,2019-03-29 11:46:24,0.146s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-03-29 11:46:24,2019-03-29 11:46:27,3.004s,PASSED
