Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.86,,2019-04-03 17:16:59,2019-04-03 17:19:25,2m - 25.436s,FAILED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:34,12.237s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:22,0.003s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:22,0.000s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:22,0.369s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:22,0.109s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 17:17:22,2019-04-03 17:17:26,4.037s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-03 17:17:26,2019-04-03 17:17:26,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.86,,2019-04-03 17:17:26,2019-04-03 17:17:34,7.565s,PASSED
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.86,This test case is for create the Policy,2019-04-03 17:17:34,2019-04-03 17:19:24,1m - 50.279s,FAILED
waitForJQueryLoad(10),Chrome 73.0.3683.86,,2019-04-03 17:17:34,2019-04-03 17:17:34,0.219s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.86,,2019-04-03 17:17:34,2019-04-03 17:17:36,1.890s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.86,,2019-04-03 17:17:36,2019-04-03 17:17:37,0.283s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-04-03 17:17:37,2019-04-03 17:17:40,3.010s,PASSED
"sendKeys(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), Keys.chord(ENTER))",Chrome 73.0.3683.86,,2019-04-03 17:17:40,2019-04-03 17:17:40,0.068s,PASSED
